scenario,provider,service,synonyms
Authentication & Identity Management,Okta,Auth0,[]
Authentication & Identity Management,Google,Firebase Authentication,[]
Authentication & Identity Management,AWS,Amazon Cognito,[]
Authentication & Identity Management,OneLogin,OneLogin,[]
Authentication & Identity Management,Microsoft,Microsoft Azure AD,"['Azure', 'Microsoft Entra ID']"
Blockchain & Cryptocurrency,Coinbase,Coinbase Commerce API,[]
Blockchain & Cryptocurrency,Binance,Binance API,[]
Blockchain & Cryptocurrency,BitPay,BitPay API,[]
Blockchain & Cryptocurrency,BlockCypher,BlockCypher API,[]
Blockchain & Cryptocurrency,Chainalysis,Chainalysis API,[]
Cloud Database Services,AWS,Amazon RDS,[]
Cloud Database Services,Google,Google Cloud SQL,[]
Cloud Database Services,Microsoft,Azure SQL Database,['Azure']
Cloud Database Services,MongoDB,MongoDB Atlas,[]
Cloud Database Services,IBM,IBM Db2 on Cloud,[]
Cloud Hosting,Amazon,Amazon Web Services (AWS),['AWS']
Cloud Hosting,Google,Google Cloud Platform (GCP),[]
Cloud Hosting,Microsoft,Microsoft Azure,['Azure']
Cloud Hosting,IBM,IBM Cloud,[]
Cloud Hosting,Dropbox,Dropbox Business,[]
Container Orchestration,Cloud Native Computing Foundation,Kubernetes,[]
Container Orchestration,Docker,Docker Swarm,[]
Container Orchestration,Amazon,Amazon ECS,[]
Container Orchestration,Google,Google Kubernetes Engine (GKE),[]
Container Orchestration,Microsoft,Azure Kubernetes Service (AKS),[]
Content Moderation & Filtering,Google,Google Cloud Vision (SafeSearch),[]
Content Moderation & Filtering,Azure,Microsoft Content Moderator,[]
Content Moderation & Filtering,AWS,Amazon Rekognition (Content Moderation),[]
Content Moderation & Filtering,Sift,Sift,[]
Content Moderation & Filtering,WebPurify,WebPurify,[]
Data Analysis,Google,Google BigQuery,[]
Data Analysis,AWS,Amazon Redshift,[]
Data Analysis,Azure,Microsoft Azure Synapse Analytics,[]
Data Analysis,Snowflake,Snowflake,[]
Data Analysis,Databricks,Databricks,[]
Data Storage,Amazon,Amazon S3,['AWS']
Data Storage,Google,Google Cloud Storage,[]
Data Storage,Microsoft,Microsoft Azure Blob Storage,['Azure']
Data Storage,IBM,IBM Cloud Object Storage,[]
Data Storage,Linode,Linode Object Storage,[]
E-commerce,Shopify,Shopify API,[]
E-commerce,BigCommerce,BigCommerce API,[]
